itemId,inscriptionNumber,inscriptionId,contentType,output,imageUrl,Background,Body accessory,Eyes,Fur,Head,Mouth,Mouth accessory
77,14654,a8b13e696eeda45c06f7b12fb736544227db626770abd3d495241084ccacfe67i0,image/png,346ff4be71729bae5036280a7cfe82b47f90b55dfc34e3a90869bf3b1cc767f9:1,https://cdn.doggy.market/content/a8b13e696eeda45c06f7b12fb736544227db626770abd3d495241084ccacfe67i0,White,Brown hoodie,Doge eyes,Red,Hat,Smiling,
82,14659,09897d2475b090528cd919db2900628bfe9012ea1346022ca2a9e85f2d2f24d4i0,image/png,3e5956e60093db93e90b848f5b35e890f7ac571b2b5b34bfcbd17f7b62c17565:1,https://cdn.doggy.market/content/09897d2475b090528cd919db2900628bfe9012ea1346022ca2a9e85f2d2f24d4i0,White,White hoodie,3d glasses,Red,Straw hat,Smiling,Tongue out
86,14663,ce9f6fc5936edecb26082c037436350656af055386c380630abdd6fc054f1ecei0,image/png,6a003691b0a0c2bf263ab87a2f1c1b17c333519bd30d1582a4f4c348ca2e2a5a:1,https://cdn.doggy.market/content/ce9f6fc5936edecb26082c037436350656af055386c380630abdd6fc054f1ecei0,Green,Business suit,Doge eyes,Red,Baseball cap blue,Smiling,
90,14667,e123a34440cdd6a76a8d63cc374173cbb6087748b18d76a56bcc32fa3749a777i0,image/png,0aad1931d765b2145be77660b4dcc652ea6ecdccc2113bd620c045097f602395:1,https://cdn.doggy.market/content/e123a34440cdd6a76a8d63cc374173cbb6087748b18d76a56bcc32fa3749a777i0,Sea,Brown hoodie,Doge eyes,Red,,Neutral,Teeth
98,14675,ea16ee82d7397a47dee0648c139434162c9b43fe39f94ba3aca36581716e1512i0,image/png,fd15ec0378648a14c7eb07be8bb845d3eb0cc9707326b3cba421374e28616351:1,https://cdn.doggy.market/content/ea16ee82d7397a47dee0648c139434162c9b43fe39f94ba3aca36581716e1512i0,Brown,,Doge eyes,Cream,Crown,Smiling,
127,14704,af4a619e293f09e31a76fd54b285d95f5e7f960ceb7d0700cb2e72b925a541b2i0,image/png,b2e9c2e3a0f0968a6fcfbd74020941aa320542a2feff73d49e36f74631d3a3ff:1,https://cdn.doggy.market/content/af4a619e293f09e31a76fd54b285d95f5e7f960ceb7d0700cb2e72b925a541b2i0,White,Diamond,Thug glasses,Red,Straw hat,Short,
132,14709,f624f095928811e58b0008bf1d58bd4586c9844959be7f3a4752070ea14651eei0,image/png,ebb7570c87082b96c136964aa9cb89b9fd474829887dfbec4466e5bf85da0547:1,https://cdn.doggy.market/content/f624f095928811e58b0008bf1d58bd4586c9844959be7f3a4752070ea14651eei0,Brown,Red collar,Doge eyes,Red,Earing,Smiling,
143,14720,e5fafa246af9a46a33c54c93310c3f824cd27099a6e2b63d12c417789b008f26i0,image/png,b648c75cc925ee8d19066964a6fe2ee0ad70b0c53459a36027f8854b27bd264e:1,https://cdn.doggy.market/content/e5fafa246af9a46a33c54c93310c3f824cd27099a6e2b63d12c417789b008f26i0,Space,Heart,Doge eyes,Cream,Pirate hat,Smiling,Open mouth
147,14724,ffff1549a52178894bb365465ff504b28c50af78410ba454c2e896cd22bd1a9ei0,image/png,a8396595b0ec583b0ffdfa60189cc218b98994d2badee998f12461d6cca6903b:1,https://cdn.doggy.market/content/ffff1549a52178894bb365465ff504b28c50af78410ba454c2e896cd22bd1a9ei0,Green,Red kimono,Blue glasses,Black n tan,Baseball cap blue,Smiling,Tongue out
148,14725,bb218b9c8e33dba3e8a26728bc271618783582bc3eeba71232817b0731a91e7ei0,image/png,9e76d1981a9a369a245780fed7c7a4939465eb6eb26a7c85e6980cf8192a2dd5:1,https://cdn.doggy.market/content/bb218b9c8e33dba3e8a26728bc271618783582bc3eeba71232817b0731a91e7ei0,Space,Black spiked collar,Doge eyes,Red,,Smiling,Open mouth
149,14726,df8731409705b612902937171f0bc2f01fa680a03479e71ff7df5d19fcb24ab5i0,image/png,864c95ccb8f03fef9e2fa3832474d4c70b2ffa8b5709e4d9408781ab7f06870f:1,https://cdn.doggy.market/content/df8731409705b612902937171f0bc2f01fa680a03479e71ff7df5d19fcb24ab5i0,Green,Black spiked collar,Doge eyes,Red,Pirate hat,Short,
150,14727,77bf83a10c91e75a6e2c8f0bcb4f42d4c22e4c685c42b6d5e5ffc10a223bc007i0,image/png,42f5810a038d23c4b59a68ad9d44fd1c248e78ed1531b674d9f03759b9e3af44:1,https://cdn.doggy.market/content/77bf83a10c91e75a6e2c8f0bcb4f42d4c22e4c685c42b6d5e5ffc10a223bc007i0,Green,Red kimono,Happy eyes,Black n tan,Baseball cap red rev,Smiling,
153,14730,e4acb29edff159442b85a81c60d4b786083d8721ba3ad084558821a9e13c62cfi0,image/png,977b47db34d89c3db388104deedf27366088c23235d2c43b23f16cc0cc6ca9f8:1,https://cdn.doggy.market/content/e4acb29edff159442b85a81c60d4b786083d8721ba3ad084558821a9e13c62cfi0,White,Black spiked collar,Happy eyes,Black n tan,Baseball cap red,Smiling,
154,14731,ef83aeca9bb64b9c0476af8e39ddbb6f566bf71fa3d6120e44e661cf0fb6c3f5i0,image/png,d9a15f1ab7c3a6dc02e94825d14b0a568bef5288a7bea2b45c0b0350e5cd9cd9:1,https://cdn.doggy.market/content/ef83aeca9bb64b9c0476af8e39ddbb6f566bf71fa3d6120e44e661cf0fb6c3f5i0,Blue,,Doge eyes,Red,Baseball cap blue,Neutral,
155,14732,ec42d1714dbfe2a16598f2439618ae63abfb3aed52e937c69120fadb5c24ba96i0,image/png,9706e1322d89fd9cf0044f0e300ddb1a407f0690e6412623bf6266001fe1cba9:1,https://cdn.doggy.market/content/ec42d1714dbfe2a16598f2439618ae63abfb3aed52e937c69120fadb5c24ba96i0,Red,Black spiked collar,Doge eyes,Black n tan,Straw hat,Smiling,
